STATISTIC	Statistic Label	TLIST(A1)	Year	C02873V03456	Type of Admission	C02842V03416	Health Service Executive Area	C02922V03531	Marital Status	UNIT	VALUE
HRA23C1	Hospital Admissions (Number)	2006	2006	-	All admissions	X01	HSE-Dublin/Mid-Leinster	-	All marital status	Number	6129
HRA23C1	Hospital Admissions (Number)	2006	2006	-	All admissions	X01	HSE-Dublin/Mid-Leinster	1	Single	Number	3138
HRA23C1	Hospital Admissions (Number)	2006	2006	-	All admissions	X01	HSE-Dublin/Mid-Leinster	2	Married	Number	1801
HRA23C1	Hospital Admissions (Number)	2006	2006	-	All admissions	X01	HSE-Dublin/Mid-Leinster	3	Widowed	Number	337
HRA23C1	Hospital Admissions (Number)	2006	2006	-	All admissions	X01	HSE-Dublin/Mid-Leinster	5	Divorced	Number	97
HRA23C1	Hospital Admissions (Number)	2006	2006	-	All admissions	X01	HSE-Dublin/Mid-Leinster	9	Unknown	Number	756
HRA23C1	Hospital Admissions (Number)	2006	2006	-	All admissions	X02	HSE-Dublin/North-East	-	All marital status	Number	4154
HRA23C1	Hospital Admissions (Number)	2006	2006	-	All admissions	X02	HSE-Dublin/North-East	1	Single	Number	2084
HRA23C1	Hospital Admissions (Number)	2006	2006	-	All admissions	X02	HSE-Dublin/North-East	2	Married	Number	1127
HRA23C1	Hospital Admissions (Number)	2006	2006	-	All admissions	X02	HSE-Dublin/North-East	3	Widowed	Number	227
HRA23C1	Hospital Admissions (Number)	2006	2006	-	All admissions	X02	HSE-Dublin/North-East	5	Divorced	Number	109
HRA23C1	Hospital Admissions (Number)	2006	2006	-	All admissions	X02	HSE-Dublin/North-East	9	Unknown	Number	607
HRA23C1	Hospital Admissions (Number)	2006	2006	-	All admissions	X03	HSE-South	-	All marital status	Number	5125
HRA23C1	Hospital Admissions (Number)	2006	2006	-	All admissions	X03	HSE-South	1	Single	Number	2885
HRA23C1	Hospital Admissions (Number)	2006	2006	-	All admissions	X03	HSE-South	2	Married	Number	1319
HRA23C1	Hospital Admissions (Number)	2006	2006	-	All admissions	X03	HSE-South	3	Widowed	Number	317
HRA23C1	Hospital Admissions (Number)	2006	2006	-	All admissions	X03	HSE-South	5	Divorced	Number	104
HRA23C1	Hospital Admissions (Number)	2006	2006	-	All admissions	X03	HSE-South	9	Unknown	Number	500
HRA23C1	Hospital Admissions (Number)	2006	2006	-	All admissions	X04	HSE-West	-	All marital status	Number	4819
HRA23C1	Hospital Admissions (Number)	2006	2006	-	All admissions	X04	HSE-West	1	Single	Number	2719
HRA23C1	Hospital Admissions (Number)	2006	2006	-	All admissions	X04	HSE-West	2	Married	Number	1231
HRA23C1	Hospital Admissions (Number)	2006	2006	-	All admissions	X04	HSE-West	3	Widowed	Number	219
HRA23C1	Hospital Admissions (Number)	2006	2006	-	All admissions	X04	HSE-West	5	Divorced	Number	120
HRA23C1	Hospital Admissions (Number)	2006	2006	-	All admissions	X04	HSE-West	9	Unknown	Number	530
HRA23C1	Hospital Admissions (Number)	2006	2006	-	All admissions	X06	Non-residents	-	All marital status	Number	61
HRA23C1	Hospital Admissions (Number)	2006	2006	-	All admissions	X06	Non-residents	1	Single	Number	38
HRA23C1	Hospital Admissions (Number)	2006	2006	-	All admissions	X06	Non-residents	2	Married	Number	17
HRA23C1	Hospital Admissions (Number)	2006	2006	-	All admissions	X06	Non-residents	3	Widowed	Number	0
HRA23C1	Hospital Admissions (Number)	2006	2006	-	All admissions	X06	Non-residents	5	Divorced	Number	0
HRA23C1	Hospital Admissions (Number)	2006	2006	-	All admissions	X06	Non-residents	9	Unknown	Number	6
HRA23C1	Hospital Admissions (Number)	2006	2006	-	All admissions	X23	All HSE areas incl. non-residents	-	All marital status	Number	20288
HRA23C1	Hospital Admissions (Number)	2006	2006	-	All admissions	X23	All HSE areas incl. non-residents	1	Single	Number	10864
HRA23C1	Hospital Admissions (Number)	2006	2006	-	All admissions	X23	All HSE areas incl. non-residents	2	Married	Number	5495
HRA23C1	Hospital Admissions (Number)	2006	2006	-	All admissions	X23	All HSE areas incl. non-residents	3	Widowed	Number	1100
HRA23C1	Hospital Admissions (Number)	2006	2006	-	All admissions	X23	All HSE areas incl. non-residents	5	Divorced	Number	430
HRA23C1	Hospital Admissions (Number)	2006	2006	-	All admissions	X23	All HSE areas incl. non-residents	9	Unknown	Number	2399
HRA23C1	Hospital Admissions (Number)	2006	2006	1	First admissions	X01	HSE-Dublin/Mid-Leinster	-	All marital status	Number	1718
HRA23C1	Hospital Admissions (Number)	2006	2006	1	First admissions	X01	HSE-Dublin/Mid-Leinster	1	Single	Number	866
HRA23C1	Hospital Admissions (Number)	2006	2006	1	First admissions	X01	HSE-Dublin/Mid-Leinster	2	Married	Number	526
HRA23C1	Hospital Admissions (Number)	2006	2006	1	First admissions	X01	HSE-Dublin/Mid-Leinster	3	Widowed	Number	99
HRA23C1	Hospital Admissions (Number)	2006	2006	1	First admissions	X01	HSE-Dublin/Mid-Leinster	5	Divorced	Number	25
HRA23C1	Hospital Admissions (Number)	2006	2006	1	First admissions	X01	HSE-Dublin/Mid-Leinster	9	Unknown	Number	202
HRA23C1	Hospital Admissions (Number)	2006	2006	1	First admissions	X02	HSE-Dublin/North-East	-	All marital status	Number	1184
HRA23C1	Hospital Admissions (Number)	2006	2006	1	First admissions	X02	HSE-Dublin/North-East	1	Single	Number	569
